word,word_length_for_file,number_of_guess_for_file,number_of_incorrect_guesses_for_file,which_list_solved_word,letters_guessed_in_order,letters_guessed_incorrectly
solid,5,10,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'u', 't', 'r', 'l', 'd', 'i', 's']","{'e', 'u', 't', 'r', 'a'}"
accuracy,8,8,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'a', 'c', 'u', 'r', 'y']","{'e', 'o', 'i'}"
dutch,5,11,6,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 'u', 'y', 'c', 'h', 'n', 't', 'd']","{'e', 'n', 'y', 'a', 'i', 'o'}"
subsequent,10,8,1,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'n', 's', 'u', 'b', 'q']",{'i'}
stand,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 's', 't', 'n', 'd']","{'r', 'e'}"
honest,6,6,0,5000EnglishWordsFrequency.txt,"['e', 't', 's', 'o', 'h', 'n']",set()
slice,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 's', 'l', 'c']","{'r', 'a'}"
common,6,6,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'c', 'n', 'm']","{'e', 'i'}"
alien,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'n', 'i', 'a', 'l']",{'r'}
tongue,6,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'u', 't', 'n', 'g', 'o']","{'i', 'a'}"
painter,7,7,0,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'n', 'a', 'i', 'p']",set()
wind,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'l', 'n', 'd', 'w']","{'e', 'a', 'l', 'o'}"
additional,10,7,0,5000EnglishWordsFrequency.txt,"['i', 't', 'n', 'd', 'a', 'l', 'o']",set()
clear,5,5,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'c', 'l']",set()
mood,4,5,2,5000EnglishWordsFrequency.txt,"['e', 'o', 'l', 'd', 'm']","{'e', 'l'}"
vitamin,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'v', 'n', 'm', 'a']",{'e'}
rescue,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'u', 'c', 's']",set()
nature,6,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'l', 'u', 't', 'r', 'n']","{'i', 'l'}"
pleasure,8,7,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'u', 'a', 'p', 'l', 's']",set()
elsewhere,9,6,0,5000EnglishWordsFrequency.txt,"['e', 'h', 'r', 'w', 'l', 's']",set()
nearly,6,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'a', 'n', 'y', 'l']",set()
grade,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'a', 's', 'r', 'g', 'd']",{'s'}
traveler,8,6,0,5000EnglishWordsFrequency.txt,"['e', 't', 'r', 'v', 'a', 'l']",set()
relatively,10,8,0,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'r', 'v', 'y', 'a', 'l']",set()
philosophical,13,8,0,5000EnglishWordsFrequency.txt,"['a', 'l', 'h', 'c', 'i', 'p', 'o', 's']",set()
differ,6,9,4,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'n', 'l', 's', 'd', 'f', 'i']","{'l', 's', 't', 'n'}"
know,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'p', 'w', 's', 'l', 'k', 'n']","{'e', 'p', 'l', 's'}"
afternoon,9,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'r', 'a', 'f', 'n', 'o']",set()
consideration,13,10,0,5000EnglishWordsFrequency.txt,"['a', 't', 'c', 'e', 'r', 'n', 'd', 'i', 'o', 's']",set()
confident,9,8,0,5000EnglishWordsFrequency.txt,"['e', 't', 'n', 'c', 'f', 'd', 'i', 'o']",set()
laser,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'o', 'a', 'l', 's']",{'o'}
shove,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'o', 's', 't', 'h', 'v']","{'i', 'a', 't'}"
alike,5,5,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 'i', 'k']",set()
murder,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'm', 'u', 'd']",set()
associate,9,7,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'c', 't', 'i', 'o', 's']",set()
divorce,7,7,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'c', 'v', 'r', 'd', 'o']",set()
section,7,7,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 's', 'c', 't', 'o']",set()
contact,7,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'o', 'c', 't', 'n']","{'e', 'i'}"
save,4,6,2,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'r', 's', 'v']","{'r', 't'}"
journalism,10,10,0,5000EnglishWordsFrequency.txt,"['i', 'o', 'l', 'u', 'n', 'j', 'r', 'a', 's', 'm']",set()
personal,8,9,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'r', 'n', 'p', 'l', 'o', 's']",{'i'}
fee,3,3,1,5000EnglishWordsFrequency.txt,"['a', 'e', 'f']",{'a'}
mean,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'l', 't', 'm', 'n']","{'r', 'l', 't'}"
residential,11,9,0,5000EnglishWordsFrequency.txt,"['t', 'i', 'e', 'r', 'n', 'd', 'a', 'l', 's']",set()
stone,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'o', 's', 't', 'n']","{'i', 'a'}"
ribbon,6,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'l', 'o', 'b', 'r', 'n']","{'e', 'l'}"
fresh,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'a', 's', 'h', 'f', 'r']",{'a'}
personality,11,11,0,5000EnglishWordsFrequency.txt,"['t', 'e', 'r', 'n', 'y', 'a', 'i', 'p', 'l', 'o', 's']",set()
diamond,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'y', 'd', 'n', 'm', 'a', 'o']","{'y', 'e'}"
first,5,9,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'h', 's', 'r', 'f']","{'e', 'a', 'h', 'o'}"
closest,7,6,0,5000EnglishWordsFrequency.txt,"['e', 't', 'c', 'o', 'l', 's']",set()
negative,8,7,0,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'v', 'i', 'g', 'n']",set()
aesthetic,9,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'h', 'c', 'a', 'i', 's']",set()
consist,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'c', 'o', 't', 's']",{'e'}
driveway,8,8,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'a', 'v', 'd', 'y', 'w', 'i']",set()
instantly,9,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'n', 'y', 'a', 'l', 's']",{'e'}
deny,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 't', 'n', 'd', 'y']","{'l', 'a', 't'}"
six,3,7,4,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 'p', 's', 'x']","{'e', 'p', 'a', 'o'}"
disability,10,8,0,5000EnglishWordsFrequency.txt,"['i', 't', 'b', 'd', 'y', 'a', 'l', 's']",set()
opt,3,5,2,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 't', 'p']","{'e', 'a'}"
implication,11,9,0,5000EnglishWordsFrequency.txt,"['t', 'i', 'n', 'c', 'm', 'a', 'p', 'l', 'o']",set()
speculate,9,8,0,5000EnglishWordsFrequency.txt,"['e', 'c', 'u', 't', 'a', 'p', 'l', 's']",set()
beef,4,7,4,5000EnglishWordsFrequency.txt,"['e', 'd', 'l', 'k', 'm', 'b', 'f']","{'d', 'm', 'k', 'l'}"
pay,3,4,1,5000EnglishWordsFrequency.txt,"['a', 't', 'y', 'p']",{'t'}
credit,6,6,0,5000EnglishWordsFrequency.txt,"['e', 't', 'r', 'c', 'd', 'i']",set()
reward,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'o', 'a', 'd', 'w']",{'o'}
three,5,4,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'h', 't']",set()
entrance,8,6,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'c', 't', 'r', 'n']",set()
must,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'u', 'b', 't', 's', 'm']","{'e', 'b', 'a', 'i', 'o'}"
refuse,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'u', 'f', 's']",set()
take,4,4,0,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'k']",set()
distinguish,11,8,0,5000EnglishWordsFrequency.txt,"['t', 'n', 'u', 'h', 'd', 'g', 'i', 's']",set()
wage,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'r', 's', 'm', 'c', 'w', 'g']","{'c', 't', 'r', 'm', 's'}"
significant,11,8,0,5000EnglishWordsFrequency.txt,"['t', 'n', 'g', 'c', 'f', 'a', 'i', 's']",set()
shout,5,9,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'r', 'c', 'h', 't', 's', 'u']","{'r', 'e', 'a', 'c'}"
spin,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'p', 's', 'n']","{'e', 'a', 'o'}"
bear,4,4,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'b']",set()
deep,4,3,0,5000EnglishWordsFrequency.txt,"['e', 'd', 'p']",set()
mineral,7,7,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'n', 'a', 'l', 'm', 'i']",set()
realm,5,6,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'c', 'm', 'l']",{'c'}
determine,9,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'r', 'n', 'd', 'm', 'i']",set()
innovative,10,7,0,5000EnglishWordsFrequency.txt,"['i', 'n', 'e', 't', 'v', 'a', 'o']",set()
laundry,7,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'n', 'u', 'r', 'd', 'y', 'l']","{'e', 'i'}"
prospect,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'n', 'r', 'c', 't', 'p', 'o', 's']",{'n'}
member,6,6,2,5000EnglishWordsFrequency.txt,"['e', 'r', 'd', 't', 'm', 'b']","{'d', 't'}"
greatly,7,8,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'i', 't', 'g', 'y', 'a', 'l']",{'i'}
edit,4,5,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 't', 'd']",{'a'}
write,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'p', 't', 'w']","{'p', 'a'}"
legislative,11,8,0,5000EnglishWordsFrequency.txt,"['t', 'i', 'e', 'v', 'g', 'a', 'l', 's']",set()
exact,5,5,0,5000EnglishWordsFrequency.txt,"['e', 't', 'c', 'a', 'x']",set()
scratch,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 't', 'c', 'h', 'r', 's']","{'e', 'i'}"
reinforce,9,7,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'i', 'c', 'r', 'f', 'o']",set()
surround,8,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'r', 'u', 'n', 'd', 's']","{'e', 'i'}"
floor,5,6,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'r', 'l', 'f']","{'e', 'a'}"
decision,8,7,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'o', 'c', 'd', 's']",set()
foreign,7,7,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'f', 'g', 'n', 'i', 'o']",set()
winner,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'n', 'i', 'w']",{'t'}
crystal,7,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'r', 'c', 't', 'y', 'l', 's']","{'e', 'i'}"
anyone,6,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'u', 'n', 'y', 'o']","{'u', 'i'}"
identification,14,9,0,5000EnglishWordsFrequency.txt,"['t', 'e', 'c', 'f', 'n', 'd', 'a', 'i', 'o']",set()
laugh,5,9,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'h', 'c', 'u', 'g', 'l']","{'r', 'e', 'c', 'i'}"
corridor,8,7,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'l', 'r', 'c', 'd', 'o']","{'e', 'l'}"
athletic,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 't', 'h', 'a', 'i', 'l']",{'r'}
missile,7,5,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'l', 'm', 's']",set()
mom,3,12,10,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 't', 'w', 'g', 'n', 'y', 'r', 'b', 'p', 'm']","{'e', 't', 'b', 'r', 'g', 'n', 'y', 'a', 'w', 'p'}"
ruin,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'p', 't', 'n', 'r', 'u']","{'e', 't', 'a', 'p', 'o'}"
sneak,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 's', 't', 'k', 'n']","{'r', 't'}"
curriculum,10,6,0,5000EnglishWordsFrequency.txt,"['i', 'c', 'u', 'r', 'm', 'l']",set()
seed,4,3,0,5000EnglishWordsFrequency.txt,"['e', 'd', 's']",set()
telescope,9,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'p', 'c', 'l', 'o', 's']",set()
silent,6,6,0,5000EnglishWordsFrequency.txt,"['e', 't', 's', 'n', 'i', 'l']",set()
shame,5,5,0,5000EnglishWordsFrequency.txt,"['e', 'a', 's', 'h', 'm']",set()
host,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'o', 'l', 'r', 's', 't', 'h']","{'r', 'e', 'l'}"
patch,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'h', 'c', 't', 'p']","{'r', 'e', 'i'}"
media,5,5,0,5000EnglishWordsFrequency.txt,"['e', 'a', 'd', 'm', 'i']",set()
wrong,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'r', 'n', 'g', 'w']","{'e', 'a'}"
supreme,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'c', 'r', 'u', 'm', 'p', 's']",{'c'}
educate,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'c', 'u', 't', 'd', 'a']",set()
assignment,10,8,0,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'n', 'g', 'm', 'a', 's']",set()
specialize,10,8,0,5000EnglishWordsFrequency.txt,"['i', 'c', 'e', 'z', 'a', 'p', 'l', 's']",set()
effort,6,5,0,5000EnglishWordsFrequency.txt,"['e', 't', 'r', 'o', 'f']",set()
suit,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'p', 't', 'u', 's']","{'e', 'p', 'a', 'o'}"
fighting,8,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'h', 'g', 'n', 'f']",{'e'}
spy,3,8,5,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 'u', 'y', 's', 'p']","{'e', 'u', 'a', 'i', 'o'}"
display,7,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'y', 'l', 'd', 'a', 'p', 's']",{'e'}
drink,5,11,6,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'l', 'n', 'g', 'r', 'd', 'k']","{'e', 't', 'g', 'a', 'l', 'o'}"
imagine,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'g', 'm', 'a']",set()
warehouse,9,9,1,5000EnglishWordsFrequency.txt,"['e', 't', 'u', 'h', 'r', 'a', 'w', 'o', 's']",{'t'}
leading,7,7,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'g', 'd', 'a', 'l']",set()
secondary,9,10,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'r', 'c', 'n', 'd', 'y', 'a', 'o', 's']",{'i'}
conversation,12,10,0,5000EnglishWordsFrequency.txt,"['i', 't', 'c', 'e', 'n', 'v', 'r', 'a', 'o', 's']",set()
conversion,10,8,0,5000EnglishWordsFrequency.txt,"['i', 'o', 'n', 'c', 'e', 's', 'v', 'r']",set()
bus,3,7,4,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 'u', 'b', 's']","{'e', 'a', 'o', 'i'}"
mark,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'l', 'r', 'm', 'k']","{'e', 'l', 'o'}"
forty,5,9,4,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'u', 't', 'r', 'h', 'f', 'y']","{'e', 'a', 'u', 'h'}"
evaluation,10,9,0,5000EnglishWordsFrequency.txt,"['i', 'o', 'n', 't', 'e', 'u', 'v', 'a', 'l']",set()
prior,5,6,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'r', 'i', 'p']","{'e', 'a'}"
brush,5,10,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 'u', 't', 'h', 'r', 's', 'b']","{'e', 't', 'a', 'i', 'o'}"
marketing,9,9,0,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'n', 'g', 'm', 'k', 'a', 'i']",set()
bean,4,10,6,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'l', 't', 'm', 'k', 'h', 'b', 'n']","{'h', 't', 'r', 'm', 'k', 'l'}"
memory,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'y', 'm', 'o']",set()
barrel,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'b', 'a', 'l']",set()
practitioner,12,9,0,5000EnglishWordsFrequency.txt,"['i', 'r', 'c', 'e', 't', 'n', 'a', 'p', 'o']",set()
station,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'a', 't', 'o', 's']",{'e'}
classroom,9,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'c', 'r', 'm', 'a', 'l', 's']","{'e', 'i'}"
stop,4,5,1,5000EnglishWordsFrequency.txt,"['e', 'o', 'p', 't', 's']",{'e'}
remaining,9,7,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'r', 'n', 'g', 'm', 'a']",set()
protein,7,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'n', 'r', 'i', 'p', 'o']",set()
exploit,7,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'x', 'i', 'p', 'l', 'o']",set()
skirt,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'r', 's', 'k']","{'e', 'a', 'o'}"
hear,4,5,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'b', 'h']",{'b'}
adolescent,10,10,1,5000EnglishWordsFrequency.txt,"['i', 'e', 't', 'n', 's', 'c', 'd', 'a', 'l', 'o']",{'i'}
rocket,6,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 't', 'k', 'o']",set()
occasional,10,8,1,5000EnglishWordsFrequency.txt,"['i', 'e', 'c', 'n', 'a', 'l', 'o', 's']",{'e'}
politics,8,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 't', 'p', 'o', 'c', 'l', 's']","{'e', 'a'}"
with,4,10,6,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'l', 'n', 's', 't', 'h', 'w']","{'e', 'n', 'a', 'l', 'o', 's'}"
leather,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'h', 't', 'a', 'l']",set()
economic,8,6,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'm', 'c', 'n', 'o']",set()
conclude,8,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'u', 'c', 'n', 'd', 'l', 'o']","{'i', 'a'}"
lawn,4,6,2,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'l', 'n', 'w']","{'e', 'o'}"
confuse,7,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'c', 'u', 's', 'f', 'n']",{'i'}
transit,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 't', 'r', 'n', 's']",{'e'}
employer,8,7,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'y', 'm', 'p', 'l', 'o']",set()
am,2,3,1,5000EnglishWordsFrequency.txt,"['o', 'm', 'a']",{'o'}
pot,3,5,2,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 't', 'p']","{'e', 'a'}"
nominee,7,5,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'm', 'i', 'o']",set()
necessity,9,7,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'c', 'y', 's', 't', 'i']",set()
grief,5,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'i', 'f', 'g']",set()
tax,3,3,0,5000EnglishWordsFrequency.txt,"['a', 't', 'x']",set()
bucket,6,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'c', 'k', 'u', 'b']",{'r'}
forever,7,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'v', 'f', 'o']",set()
waist,5,7,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 't', 'n', 'w', 's']","{'e', 'n'}"
leader,6,6,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'd', 'n', 'a', 'l']",{'n'}
medicine,8,8,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'r', 'c', 'n', 'd', 'm', 'i']","{'r', 'a'}"
dependent,9,5,0,5000EnglishWordsFrequency.txt,"['e', 't', 'n', 'd', 'p']",set()
hazard,6,8,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'a', 'r', 'h', 'z', 'd']","{'e', 'o', 'i'}"
fashion,7,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'a', 'o', 's', 'h', 'f']",{'e'}
turkey,6,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 'u', 'y', 'k']",set()
assemble,8,6,0,5000EnglishWordsFrequency.txt,"['e', 'l', 's', 'b', 'm', 'a']",set()
ride,4,5,1,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'r', 'd']",{'a'}
sense,5,3,0,5000EnglishWordsFrequency.txt,"['e', 'n', 's']",set()
jewish,6,10,4,5000EnglishWordsFrequency.txt,"['e', 'r', 'l', 'n', 't', 'i', 'h', 'j', 'w', 's']","{'r', 'l', 't', 'n'}"
but,3,8,5,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 'u', 'b', 's', 't']","{'e', 'a', 'i', 'o', 's'}"
currency,8,6,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 'u', 'n', 'y']",set()
else,4,3,0,5000EnglishWordsFrequency.txt,"['e', 's', 'l']",set()
blood,5,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'r', 'd', 'l', 'b']","{'r', 'e', 'a'}"
split,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 't', 'p', 'l', 's']","{'e', 'a', 'o'}"
hope,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 'i', 'o', 's', 'p', 'h']","{'i', 'a', 's'}"
cart,4,9,5,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'l', 'r', 'm', 'd', 't', 'c']","{'e', 'd', 'm', 'l', 'o'}"
custom,6,9,3,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'a', 'u', 't', 'c', 'm', 's']","{'e', 'a', 'i'}"
subsidy,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'n', 'u', 'y', 's', 'b', 'd']","{'e', 'n'}"
left,4,6,2,5000EnglishWordsFrequency.txt,"['e', 'a', 'l', 's', 't', 'f']","{'a', 's'}"
socially,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'c', 'y', 'l', 'o', 's']",{'e'}
sister,6,5,0,5000EnglishWordsFrequency.txt,"['e', 'r', 't', 's', 'i']",set()
sum,3,10,7,5000EnglishWordsFrequency.txt,"['a', 'e', 'o', 'i', 'u', 'b', 'n', 't', 'm', 's']","{'e', 't', 'b', 'n', 'a', 'i', 'o'}"
approval,8,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'r', 'a', 'v', 'p', 'l']","{'e', 'i'}"
portrait,8,7,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'o', 't', 'r', 'p']",{'e'}
seemingly,9,8,0,5000EnglishWordsFrequency.txt,"['e', 'n', 'g', 'm', 'y', 'i', 'l', 's']",set()
impression,10,8,0,5000EnglishWordsFrequency.txt,"['i', 'n', 'e', 'r', 'm', 'p', 'o', 's']",set()
